tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
19,cust_50,True,Thu Feb 08 16:48:00 +0000 2018,@AmazonHelp order 498382 arrived but it's the wrong item entirely. I ordered a blender and got headphones. Need this fixed asap,20,
20,AmazonHelp,False,Thu Feb 08 20:29:00 +0000 2018,So sorry about that mix-up! Please DM your order number and we'll arrange a free return and get the correct item shipped out. ^SM,,19
21,cust_136,True,Sat Jul 21 20:47:00 +0000 2018,"I want to cancel order 733052, I placed it by mistake, how do I do this @AmazonHelp before it ships?",22,
22,AmazonHelp,False,Sat Jul 21 21:03:00 +0000 2018,"No problem, you can cancel from Your Orders if it hasn't shipped yet. If the option isn't there, DM us the order number. ^SM",,21
23,cust_64,True,Sat Sep 01 19:08:00 +0000 2018,Does @AmazonHelp support gift wrapping for electronics orders? Just curious before I place order 662275,24,
24,AmazonHelp,False,Sat Sep 01 20:49:00 +0000 2018,Great question! Gift wrap availability shows on the product page at checkout for eligible items. Let us know if you need more help! ^JD,,23
25,cust_151,True,Sun Jul 29 23:26:00 +0000 2018,@AmazonHelp order 678856 arrived but it's the wrong item entirely. I ordered a blender and got headphones. Need this fixed asap,26,
26,AmazonHelp,False,Mon Jul 30 02:11:00 +0000 2018,So sorry about that mix-up! Please DM your order number and we'll arrange a free return and get the correct item shipped out. ^SM,,25
27,cust_296,True,Sun Dec 10 00:14:00 +0000 2017,"Refund for order 479201 still hasn't shown up after 2 weeks @AmazonHelp, this feels like a scam at this point.",28,
28,AmazonHelp,False,Sun Dec 10 03:19:00 +0000 2017,We're sorry for the wait — refunds can take 3-5 business days once processed. Please DM your order number so we can check the status. ^SM,,27
29,cust_339,True,Fri Dec 22 23:24:00 +0000 2017,@AmazonHelp order 148050 arrived but it's the wrong item entirely. I ordered a blender and got headphones. Need this fixed asap,30,
30,AmazonHelp,False,Sat Dec 23 02:46:00 +0000 2017,So sorry about that mix-up! Please DM your order number and we'll arrange a free return and get the correct item shipped out. ^SM,,29
31,cust_120,True,Sun Aug 12 11:26:00 +0000 2018,"@AmazonHelp the product I received for order 183667 is completely broken, screen is cracked out of the box.",32,
32,AmazonHelp,False,Sun Aug 12 11:56:00 +0000 2018,That's not the experience we want for you — please DM your order number and a photo of the damage so we can send a replacement. ^KL,,31
33,cust_233,True,Sun May 20 10:41:00 +0000 2018,"@AmazonHelp requesting a refund for order 391476, item doesn't match the description at all, very disappointed.",34,
34,AmazonHelp,False,Sun May 20 14:19:00 +0000 2018,We're sorry to hear that! Please DM your order number and we'll start a refund review right away. ^RT,,33
35,cust_190,True,Wed Feb 07 08:24:00 +0000 2018,"I want to cancel order 270555, I placed it by mistake, how do I do this @AmazonHelp before it ships?",36,
36,AmazonHelp,False,Wed Feb 07 09:22:00 +0000 2018,"No problem, you can cancel from Your Orders if it hasn't shipped yet. If the option isn't there, DM us the order number. ^SM",,35
37,cust_350,True,Thu May 24 22:37:00 +0000 2018,"@AmazonHelp the product I received for order 835911 is completely broken, screen is cracked out of the box.",38,
38,AmazonHelp,False,Thu May 24 23:00:00 +0000 2018,That's not the experience we want for you — please DM your order number and a photo of the damage so we can send a replacement. ^KL,,37
39,cust_88,True,Fri Apr 13 11:23:00 +0000 2018,"Refund for order 765822 still hasn't shown up after 2 weeks @AmazonHelp, this feels like a scam at this point.",40,
40,AmazonHelp,False,Fri Apr 13 14:34:00 +0000 2018,We're sorry for the wait — refunds can take 3-5 business days once processed. Please DM your order number so we can check the status. ^SM,,39
41,cust_237,True,Fri Feb 16 03:43:00 +0000 2018,"Can't log into my account, it keeps saying my password is wrong even after I reset it 3 times @AmazonHelp this is so frustrating",42,
42,AmazonHelp,False,Fri Feb 16 04:57:00 +0000 2018,"Sorry for the trouble logging in! Please try resetting from a private/incognito window, and DM us if it still doesn't work. ^JD",,41
43,cust_351,True,Sat Jan 27 01:37:00 +0000 2018,"@AmazonHelp this is the THIRD time my order 330283 has been delayed. Absolutely unacceptable, I want a manager to call me.",44,
44,AmazonHelp,False,Sat Jan 27 05:17:00 +0000 2018,We completely understand your frustration and apologize for the repeated delays. Please DM your order number so we can escalate this internally. ^KL,,43
45,cust_17,True,Sat Jul 21 02:35:00 +0000 2018,Hi @AmazonHelp my package #340174 was supposed to arrive 3 days ago and tracking hasn't updated at all. Where is it??,46,
46,AmazonHelp,False,Sat Jul 21 04:00:00 +0000 2018,"Hi there, we're sorry for the delay! Please DM us your order number and zip code so we can look into the tracking for you. ^KL",,45
47,cust_34,True,Sat Dec 16 19:35:00 +0000 2017,"@AmazonHelp requesting a refund for order 380746, item doesn't match the description at all, very disappointed.",48,
48,AmazonHelp,False,Sat Dec 16 23:33:00 +0000 2017,We're sorry to hear that! Please DM your order number and we'll start a refund review right away. ^RT,,47
49,cust_162,True,Sun Dec 17 09:57:00 +0000 2017,"Refund for order 852787 still hasn't shown up after 2 weeks @AmazonHelp, this feels like a scam at this point.",50,
50,AmazonHelp,False,Sun Dec 17 12:49:00 +0000 2017,We're sorry for the wait — refunds can take 3-5 business days once processed. Please DM your order number so we can check the status. ^SM,,49
51,cust_330,True,Sat Mar 17 01:30:00 +0000 2018,Does @AmazonHelp support gift wrapping for electronics orders? Just curious before I place order 514850,52,
52,AmazonHelp,False,Sat Mar 17 02:11:00 +0000 2018,Great question! Gift wrap availability shows on the product page at checkout for eligible items. Let us know if you need more help! ^JD,,51
53,cust_127,True,Fri Jun 29 05:48:00 +0000 2018,"@AmazonHelp the product I received for order 246413 is completely broken, screen is cracked out of the box.",54,
54,AmazonHelp,False,Fri Jun 29 08:16:00 +0000 2018,That's not the experience we want for you — please DM your order number and a photo of the damage so we can send a replacement. ^KL,,53
55,cust_383,True,Tue May 01 20:11:00 +0000 2018,"@AmazonHelp this is the THIRD time my order 375504 has been delayed. Absolutely unacceptable, I want a manager to call me.",56,
56,AmazonHelp,False,Tue May 01 22:05:00 +0000 2018,We completely understand your frustration and apologize for the repeated delays. Please DM your order number so we can escalate this internally. ^KL,,55
57,cust_186,True,Tue Dec 19 20:27:00 +0000 2017,"Refund for order 518801 still hasn't shown up after 2 weeks @AmazonHelp, this feels like a scam at this point.",58,
58,AmazonHelp,False,Tue Dec 19 21:07:00 +0000 2017,We're sorry for the wait — refunds can take 3-5 business days once processed. Please DM your order number so we can check the status. ^SM,,57
59,cust_47,True,Tue Jul 03 04:07:00 +0000 2018,"@AmazonHelp this is the THIRD time my order 617488 has been delayed. Absolutely unacceptable, I want a manager to call me.",60,
60,AmazonHelp,False,Tue Jul 03 04:24:00 +0000 2018,We completely understand your frustration and apologize for the repeated delays. Please DM your order number so we can escalate this internally. ^KL,,59
61,cust_322,True,Tue Nov 28 05:56:00 +0000 2017,@AmazonHelp order 260265 arrived but it's the wrong item entirely. I ordered a blender and got headphones. Need this fixed asap,62,
62,AmazonHelp,False,Tue Nov 28 09:23:00 +0000 2017,So sorry about that mix-up! Please DM your order number and we'll arrange a free return and get the correct item shipped out. ^SM,,61
63,cust_33,True,Sun Feb 18 02:08:00 +0000 2018,"@AmazonHelp requesting a refund for order 725380, item doesn't match the description at all, very disappointed.",64,
64,AmazonHelp,False,Sun Feb 18 03:50:00 +0000 2018,We're sorry to hear that! Please DM your order number and we'll start a refund review right away. ^RT,,63
65,cust_271,True,Sun Dec 31 12:53:00 +0000 2017,"Refund for order 590785 still hasn't shown up after 2 weeks @AmazonHelp, this feels like a scam at this point.",66,
66,AmazonHelp,False,Sun Dec 31 15:19:00 +0000 2017,We're sorry for the wait — refunds can take 3-5 business days once processed. Please DM your order number so we can check the status. ^SM,,65
67,cust_370,True,Sat Nov 11 16:58:00 +0000 2017,Hi @AmazonHelp my package #813328 was supposed to arrive 3 days ago and tracking hasn't updated at all. Where is it??,68,
68,AmazonHelp,False,Sat Nov 11 19:57:00 +0000 2017,"Hi there, we're sorry for the delay! Please DM us your order number and zip code so we can look into the tracking for you. ^KL",,67
69,cust_137,True,Sat Jul 07 20:07:00 +0000 2018,"@AmazonHelp this is the THIRD time my order 887352 has been delayed. Absolutely unacceptable, I want a manager to call me.",70,
70,AmazonHelp,False,Sat Jul 07 22:56:00 +0000 2018,We completely understand your frustration and apologize for the repeated delays. Please DM your order number so we can escalate this internally. ^KL,,69
71,cust_151,True,Thu Mar 08 07:02:00 +0000 2018,"I want to cancel order 216970, I placed it by mistake, how do I do this @AmazonHelp before it ships?",72,
72,AmazonHelp,False,Thu Mar 08 07:47:00 +0000 2018,"No problem, you can cancel from Your Orders if it hasn't shipped yet. If the option isn't there, DM us the order number. ^SM",,71
73,cust_370,True,Wed Aug 15 21:19:00 +0000 2018,Does @AmazonHelp support gift wrapping for electronics orders? Just curious before I place order 103402,74,
74,AmazonHelp,False,Thu Aug 16 00:28:00 +0000 2018,Great question! Gift wrap availability shows on the product page at checkout for eligible items. Let us know if you need more help! ^JD,,73
75,cust_391,True,Tue Dec 05 01:05:00 +0000 2017,"@AmazonHelp the product I received for order 624902 is completely broken, screen is cracked out of the box.",76,
76,AmazonHelp,False,Tue Dec 05 03:19:00 +0000 2017,That's not the experience we want for you — please DM your order number and a photo of the damage so we can send a replacement. ^KL,,75
77,cust_153,True,Fri Aug 03 10:37:00 +0000 2018,@AmazonHelp order 755674 arrived but it's the wrong item entirely. I ordered a blender and got headphones. Need this fixed asap,78,
78,AmazonHelp,False,Fri Aug 03 13:25:00 +0000 2018,So sorry about that mix-up! Please DM your order number and we'll arrange a free return and get the correct item shipped out. ^SM,,77
79,cust_102,True,Sat Nov 25 15:31:00 +0000 2017,"@AmazonHelp this is the THIRD time my order 738551 has been delayed. Absolutely unacceptable, I want a manager to call me.",80,
80,AmazonHelp,False,Sat Nov 25 17:11:00 +0000 2017,We completely understand your frustration and apologize for the repeated delays. Please DM your order number so we can escalate this internally. ^KL,,79
81,cust_399,True,Sat Sep 01 20:21:00 +0000 2018,"@AmazonHelp I was charged twice for order 665579, can someone explain why there are two charges on my card for the same item?",82,
82,AmazonHelp,False,Sat Sep 01 22:41:00 +0000 2018,We apologize for the confusion — please DM your order ID and the last 4 digits of the card used so we can review the charges. ^RT,,81
83,cust_166,True,Tue Mar 27 21:30:00 +0000 2018,Hi @AmazonHelp my package #728038 was supposed to arrive 3 days ago and tracking hasn't updated at all. Where is it??,84,
84,AmazonHelp,False,Tue Mar 27 21:39:00 +0000 2018,"Hi there, we're sorry for the delay! Please DM us your order number and zip code so we can look into the tracking for you. ^KL",,83
85,cust_158,True,Wed Dec 27 04:21:00 +0000 2017,@AmazonHelp order 480612 arrived but it's the wrong item entirely. I ordered a blender and got headphones. Need this fixed asap,86,
86,AmazonHelp,False,Wed Dec 27 04:40:00 +0000 2017,So sorry about that mix-up! Please DM your order number and we'll arrange a free return and get the correct item shipped out. ^SM,,85
87,cust_41,True,Wed Nov 01 04:27:00 +0000 2017,"Can't log into my account, it keeps saying my password is wrong even after I reset it 3 times @AmazonHelp this is so frustrating",88,
88,AmazonHelp,False,Wed Nov 01 07:39:00 +0000 2017,"Sorry for the trouble logging in! Please try resetting from a private/incognito window, and DM us if it still doesn't work. ^JD",,87
89,cust_36,True,Wed Jul 04 22:14:00 +0000 2018,Does @AmazonHelp support gift wrapping for electronics orders? Just curious before I place order 955662,90,
90,AmazonHelp,False,Thu Jul 05 00:35:00 +0000 2018,Great question! Gift wrap availability shows on the product page at checkout for eligible items. Let us know if you need more help! ^JD,,89
91,cust_338,True,Fri Mar 23 01:04:00 +0000 2018,"@AmazonHelp I was charged twice for order 234628, can someone explain why there are two charges on my card for the same item?",92,
92,AmazonHelp,False,Fri Mar 23 03:29:00 +0000 2018,We apologize for the confusion — please DM your order ID and the last 4 digits of the card used so we can review the charges. ^RT,,91
93,cust_271,True,Tue Aug 14 15:26:00 +0000 2018,"@AmazonHelp I was charged twice for order 377932, can someone explain why there are two charges on my card for the same item?",94,
94,AmazonHelp,False,Tue Aug 14 18:06:00 +0000 2018,We apologize for the confusion — please DM your order ID and the last 4 digits of the card used so we can review the charges. ^RT,,93
95,cust_277,True,Mon Jul 02 23:36:00 +0000 2018,"@AmazonHelp requesting a refund for order 322086, item doesn't match the description at all, very disappointed.",96,
96,AmazonHelp,False,Tue Jul 03 02:47:00 +0000 2018,We're sorry to hear that! Please DM your order number and we'll start a refund review right away. ^RT,,95
97,cust_160,True,Fri Feb 23 06:26:00 +0000 2018,"Can't log into my account, it keeps saying my password is wrong even after I reset it 3 times @AmazonHelp this is so frustrating",98,
98,AmazonHelp,False,Fri Feb 23 09:22:00 +0000 2018,"Sorry for the trouble logging in! Please try resetting from a private/incognito window, and DM us if it still doesn't work. ^JD",,97
99,cust_265,True,Wed Mar 14 09:08:00 +0000 2018,"I want to cancel order 559381, I placed it by mistake, how do I do this @AmazonHelp before it ships?",100,
100,AmazonHelp,False,Wed Mar 14 09:43:00 +0000 2018,"No problem, you can cancel from Your Orders if it hasn't shipped yet. If the option isn't there, DM us the order number. ^SM",,99
101,cust_33,True,Thu Feb 01 02:14:00 +0000 2018,"Can't log into my account, it keeps saying my password is wrong even after I reset it 3 times @AmazonHelp this is so frustrating",102,
102,AmazonHelp,False,Thu Feb 01 02:24:00 +0000 2018,"Sorry for the trouble logging in! Please try resetting from a private/incognito window, and DM us if it still doesn't work. ^JD",,101
103,cust_118,True,Thu May 03 05:52:00 +0000 2018,"Refund for order 680828 still hasn't shown up after 2 weeks @AmazonHelp, this feels like a scam at this point.",104,
104,AmazonHelp,False,Thu May 03 06:53:00 +0000 2018,We're sorry for the wait — refunds can take 3-5 business days once processed. Please DM your order number so we can check the status. ^SM,,103
105,cust_363,True,Fri May 18 18:39:00 +0000 2018,Hi @AmazonHelp my package #174441 was supposed to arrive 3 days ago and tracking hasn't updated at all. Where is it??,106,
106,AmazonHelp,False,Fri May 18 18:59:00 +0000 2018,"Hi there, we're sorry for the delay! Please DM us your order number and zip code so we can look into the tracking for you. ^KL",,105
107,cust_17,True,Thu Aug 09 23:36:00 +0000 2018,"Can't log into my account, it keeps saying my password is wrong even after I reset it 3 times @AmazonHelp this is so frustrating",108,
108,AmazonHelp,False,Fri Aug 10 01:05:00 +0000 2018,"Sorry for the trouble logging in! Please try resetting from a private/incognito window, and DM us if it still doesn't work. ^JD",,107
109,cust_122,True,Wed Jan 10 09:22:00 +0000 2018,@AmazonHelp order 639131 arrived but it's the wrong item entirely. I ordered a blender and got headphones. Need this fixed asap,110,
110,AmazonHelp,False,Wed Jan 10 12:18:00 +0000 2018,So sorry about that mix-up! Please DM your order number and we'll arrange a free return and get the correct item shipped out. ^SM,,109
111,cust_277,True,Sat Nov 18 04:09:00 +0000 2017,Does @AmazonHelp support gift wrapping for electronics orders? Just curious before I place order 324643,112,
112,AmazonHelp,False,Sat Nov 18 07:19:00 +0000 2017,Great question! Gift wrap availability shows on the product page at checkout for eligible items. Let us know if you need more help! ^JD,,111
113,cust_243,True,Thu Dec 28 11:20:00 +0000 2017,"Refund for order 704201 still hasn't shown up after 2 weeks @AmazonHelp, this feels like a scam at this point.",114,
114,AmazonHelp,False,Thu Dec 28 14:45:00 +0000 2017,We're sorry for the wait — refunds can take 3-5 business days once processed. Please DM your order number so we can check the status. ^SM,,113
115,cust_209,True,Sat Dec 09 07:49:00 +0000 2017,Does @AmazonHelp support gift wrapping for electronics orders? Just curious before I place order 946721,116,
116,AmazonHelp,False,Sat Dec 09 08:18:00 +0000 2017,Great question! Gift wrap availability shows on the product page at checkout for eligible items. Let us know if you need more help! ^JD,,115
117,cust_221,True,Tue Feb 06 23:53:00 +0000 2018,@AmazonHelp order 790993 arrived but it's the wrong item entirely. I ordered a blender and got headphones. Need this fixed asap,118,
118,AmazonHelp,False,Wed Feb 07 01:46:00 +0000 2018,So sorry about that mix-up! Please DM your order number and we'll arrange a free return and get the correct item shipped out. ^SM,,117
119,cust_374,True,Fri Oct 20 17:21:00 +0000 2017,"@AmazonHelp requesting a refund for order 589710, item doesn't match the description at all, very disappointed.",120,
120,AmazonHelp,False,Fri Oct 20 20:18:00 +0000 2017,We're sorry to hear that! Please DM your order number and we'll start a refund review right away. ^RT,,119
121,cust_207,True,Sat Jun 23 03:13:00 +0000 2018,@AmazonHelp order 163556 arrived but it's the wrong item entirely. I ordered a blender and got headphones. Need this fixed asap,122,
122,AmazonHelp,False,Sat Jun 23 04:44:00 +0000 2018,So sorry about that mix-up! Please DM your order number and we'll arrange a free return and get the correct item shipped out. ^SM,,121
123,cust_99,True,Sat Dec 09 06:04:00 +0000 2017,@AmazonHelp order 360735 arrived but it's the wrong item entirely. I ordered a blender and got headphones. Need this fixed asap,124,
124,AmazonHelp,False,Sat Dec 09 08:26:00 +0000 2017,So sorry about that mix-up! Please DM your order number and we'll arrange a free return and get the correct item shipped out. ^SM,,123
125,cust_217,True,Wed Dec 06 19:20:00 +0000 2017,Does @AmazonHelp support gift wrapping for electronics orders? Just curious before I place order 246991,126,
126,AmazonHelp,False,Wed Dec 06 20:36:00 +0000 2017,Great question! Gift wrap availability shows on the product page at checkout for eligible items. Let us know if you need more help! ^JD,,125
127,cust_39,True,Sun Mar 11 08:08:00 +0000 2018,Does @AmazonHelp support gift wrapping for electronics orders? Just curious before I place order 361941,128,
128,AmazonHelp,False,Sun Mar 11 11:39:00 +0000 2018,Great question! Gift wrap availability shows on the product page at checkout for eligible items. Let us know if you need more help! ^JD,,127
129,cust_26,True,Sat May 26 10:31:00 +0000 2018,"@AmazonHelp this is the THIRD time my order 202664 has been delayed. Absolutely unacceptable, I want a manager to call me.",130,
130,AmazonHelp,False,Sat May 26 12:54:00 +0000 2018,We completely understand your frustration and apologize for the repeated delays. Please DM your order number so we can escalate this internally. ^KL,,129
131,cust_386,True,Mon Aug 06 00:00:00 +0000 2018,Hi @AmazonHelp my package #197793 was supposed to arrive 3 days ago and tracking hasn't updated at all. Where is it??,132,
132,AmazonHelp,False,Mon Aug 06 01:05:00 +0000 2018,"Hi there, we're sorry for the delay! Please DM us your order number and zip code so we can look into the tracking for you. ^KL",,131
133,cust_249,True,Sun Mar 25 06:10:00 +0000 2018,"@AmazonHelp I was charged twice for order 526156, can someone explain why there are two charges on my card for the same item?",134,
134,AmazonHelp,False,Sun Mar 25 07:09:00 +0000 2018,We apologize for the confusion — please DM your order ID and the last 4 digits of the card used so we can review the charges. ^RT,,133
135,cust_85,True,Thu Feb 15 23:31:00 +0000 2018,"@AmazonHelp requesting a refund for order 161483, item doesn't match the description at all, very disappointed.",136,
136,AmazonHelp,False,Thu Feb 15 23:36:00 +0000 2018,We're sorry to hear that! Please DM your order number and we'll start a refund review right away. ^RT,,135
137,cust_233,True,Fri Jan 12 20:32:00 +0000 2018,"@AmazonHelp requesting a refund for order 378085, item doesn't match the description at all, very disappointed.",138,
138,AmazonHelp,False,Fri Jan 12 22:25:00 +0000 2018,We're sorry to hear that! Please DM your order number and we'll start a refund review right away. ^RT,,137
139,cust_368,True,Tue Mar 27 04:35:00 +0000 2018,"@AmazonHelp this is the THIRD time my order 794022 has been delayed. Absolutely unacceptable, I want a manager to call me.",140,
140,AmazonHelp,False,Tue Mar 27 05:19:00 +0000 2018,We completely understand your frustration and apologize for the repeated delays. Please DM your order number so we can escalate this internally. ^KL,,139
141,cust_112,True,Sun Oct 22 07:02:00 +0000 2017,"Can't log into my account, it keeps saying my password is wrong even after I reset it 3 times @AmazonHelp this is so frustrating",142,
142,AmazonHelp,False,Sun Oct 22 09:35:00 +0000 2017,"Sorry for the trouble logging in! Please try resetting from a private/incognito window, and DM us if it still doesn't work. ^JD",,141
143,cust_383,True,Tue Jan 23 04:19:00 +0000 2018,"@AmazonHelp this is the THIRD time my order 163918 has been delayed. Absolutely unacceptable, I want a manager to call me.",144,
144,AmazonHelp,False,Tue Jan 23 04:38:00 +0000 2018,We completely understand your frustration and apologize for the repeated delays. Please DM your order number so we can escalate this internally. ^KL,,143
145,cust_245,True,Mon Apr 02 01:58:00 +0000 2018,Hi @AmazonHelp my package #712554 was supposed to arrive 3 days ago and tracking hasn't updated at all. Where is it??,146,
146,AmazonHelp,False,Mon Apr 02 05:58:00 +0000 2018,"Hi there, we're sorry for the delay! Please DM us your order number and zip code so we can look into the tracking for you. ^KL",,145
147,cust_30,True,Tue Apr 03 21:28:00 +0000 2018,"@AmazonHelp this is the THIRD time my order 265080 has been delayed. Absolutely unacceptable, I want a manager to call me.",148,
148,AmazonHelp,False,Tue Apr 03 21:53:00 +0000 2018,We completely understand your frustration and apologize for the repeated delays. Please DM your order number so we can escalate this internally. ^KL,,147
149,cust_305,True,Wed Oct 25 17:51:00 +0000 2017,"@AmazonHelp I was charged twice for order 171849, can someone explain why there are two charges on my card for the same item?",150,
150,AmazonHelp,False,Wed Oct 25 20:48:00 +0000 2017,We apologize for the confusion — please DM your order ID and the last 4 digits of the card used so we can review the charges. ^RT,,149
151,cust_62,True,Sat Sep 08 19:47:00 +0000 2018,"Can't log into my account, it keeps saying my password is wrong even after I reset it 3 times @AmazonHelp this is so frustrating",152,
152,AmazonHelp,False,Sat Sep 08 23:39:00 +0000 2018,"Sorry for the trouble logging in! Please try resetting from a private/incognito window, and DM us if it still doesn't work. ^JD",,151
153,cust_297,True,Sat May 05 10:59:00 +0000 2018,"Refund for order 358175 still hasn't shown up after 2 weeks @AmazonHelp, this feels like a scam at this point.",154,
154,AmazonHelp,False,Sat May 05 11:14:00 +0000 2018,We're sorry for the wait — refunds can take 3-5 business days once processed. Please DM your order number so we can check the status. ^SM,,153
155,cust_215,True,Mon May 28 08:12:00 +0000 2018,"Refund for order 185965 still hasn't shown up after 2 weeks @AmazonHelp, this feels like a scam at this point.",156,
156,AmazonHelp,False,Mon May 28 10:46:00 +0000 2018,We're sorry for the wait — refunds can take 3-5 business days once processed. Please DM your order number so we can check the status. ^SM,,155
157,cust_162,True,Thu Sep 06 07:35:00 +0000 2018,"Refund for order 648177 still hasn't shown up after 2 weeks @AmazonHelp, this feels like a scam at this point.",158,
158,AmazonHelp,False,Thu Sep 06 08:46:00 +0000 2018,We're sorry for the wait — refunds can take 3-5 business days once processed. Please DM your order number so we can check the status. ^SM,,157
159,cust_367,True,Tue Jan 23 09:22:00 +0000 2018,"Can't log into my account, it keeps saying my password is wrong even after I reset it 3 times @AmazonHelp this is so frustrating",160,
160,AmazonHelp,False,Tue Jan 23 10:28:00 +0000 2018,"Sorry for the trouble logging in! Please try resetting from a private/incognito window, and DM us if it still doesn't work. ^JD",,159
161,cust_68,True,Sat Jun 02 13:19:00 +0000 2018,"@AmazonHelp the product I received for order 515011 is completely broken, screen is cracked out of the box.",162,
162,AmazonHelp,False,Sat Jun 02 16:09:00 +0000 2018,That's not the experience we want for you — please DM your order number and a photo of the damage so we can send a replacement. ^KL,,161
163,cust_162,True,Tue Sep 04 05:53:00 +0000 2018,"@AmazonHelp the product I received for order 579434 is completely broken, screen is cracked out of the box.",164,
164,AmazonHelp,False,Tue Sep 04 09:10:00 +0000 2018,That's not the experience we want for you — please DM your order number and a photo of the damage so we can send a replacement. ^KL,,163
165,cust_235,True,Tue May 15 03:46:00 +0000 2018,@AmazonHelp order 109767 arrived but it's the wrong item entirely. I ordered a blender and got headphones. Need this fixed asap,166,
166,AmazonHelp,False,Tue May 15 06:15:00 +0000 2018,So sorry about that mix-up! Please DM your order number and we'll arrange a free return and get the correct item shipped out. ^SM,,165
167,cust_276,True,Sun Dec 17 14:34:00 +0000 2017,@AmazonHelp order 176819 arrived but it's the wrong item entirely. I ordered a blender and got headphones. Need this fixed asap,168,
168,AmazonHelp,False,Sun Dec 17 16:48:00 +0000 2017,So sorry about that mix-up! Please DM your order number and we'll arrange a free return and get the correct item shipped out. ^SM,,167
169,cust_179,True,Fri Aug 17 17:06:00 +0000 2018,"@AmazonHelp the product I received for order 238890 is completely broken, screen is cracked out of the box.",170,
170,AmazonHelp,False,Fri Aug 17 17:28:00 +0000 2018,That's not the experience we want for you — please DM your order number and a photo of the damage so we can send a replacement. ^KL,,169
171,cust_146,True,Mon Nov 27 10:24:00 +0000 2017,"Can't log into my account, it keeps saying my password is wrong even after I reset it 3 times @AmazonHelp this is so frustrating",172,
172,AmazonHelp,False,Mon Nov 27 12:21:00 +0000 2017,"Sorry for the trouble logging in! Please try resetting from a private/incognito window, and DM us if it still doesn't work. ^JD",,171
173,cust_155,True,Fri May 11 16:55:00 +0000 2018,"@AmazonHelp this is the THIRD time my order 837715 has been delayed. Absolutely unacceptable, I want a manager to call me.",174,
174,AmazonHelp,False,Fri May 11 20:26:00 +0000 2018,We completely understand your frustration and apologize for the repeated delays. Please DM your order number so we can escalate this internally. ^KL,,173
175,cust_342,True,Wed Jul 25 11:57:00 +0000 2018,"@AmazonHelp this is the THIRD time my order 108203 has been delayed. Absolutely unacceptable, I want a manager to call me.",176,
